"Date Time","Date Time(RAW)","Traffic Total (Volume)","Traffic Total (Volume)(RAW)","Traffic Total (Speed)","Traffic Total (Speed)(RAW)","Traffic In (Volume)","Traffic In (Volume)(RAW)","Traffic In (Speed)","Traffic In (Speed)(RAW)","Traffic Out (Volume)","Traffic Out (Volume)(RAW)","Traffic Out (Speed)","Traffic Out (Speed)(RAW)","Downtime","Downtime(RAW)","Coverage","Coverage(RAW)"
"3/14/2024 12:00:00 PM - 1:00:00 PM","45365.2500000000","493 MB","517328642.9316","1.15 Mbit/s","143714.7763","474 MB","496645706.7965","1.10 Mbit/s","137969.0214","20 MB","20682936.1351","0.05 Mbit/s","5745.7548","0 %","0.0000","100 %","0000009999"
"3/14/2024 1:00:00 PM - 2:00:00 PM","45365.2916666667","18 MB","18571902.9664","0.04 Mbit/s","5159.2489","9.94 MB","10417756.1843","0.02 Mbit/s","2894.0382","7.78 MB","8154146.7821","0.02 Mbit/s","2265.2107","0 %","0.0000","100 %","0000009999"
"3/14/2024 2:00:00 PM - 3:00:00 PM","45365.3333333333","406 MB","425830186.8756","0.95 Mbit/s","118294.7065","386 MB","404470711.9403","0.90 Mbit/s","112361.0905","20 MB","21359474.9353","0.05 Mbit/s","5933.6160","0 %","0.0000","100 %","0000009999"
"3/14/2024 3:00:00 PM - 4:00:00 PM","45365.3750000000","581 MB","609691410.4665","1.35 Mbit/s","169372.3690","557 MB","583653925.6755","1.30 Mbit/s","162139.1517","25 MB","26037484.7909","0.06 Mbit/s","7233.2173","0 %","0.0000","100 %","0000009999"
"3/14/2024 4:00:00 PM - 5:00:00 PM","45365.4166666667","1,126 MB","1181009168.5641","2.62 Mbit/s","328084.5314","1,043 MB","1093563570.5724","2.43 Mbit/s","303792.1306","83 MB","87445597.9917","0.19 Mbit/s","24292.4008","0 %","0.0000","100 %","0000009999"
"3/14/2024 5:00:00 PM - 6:00:00 PM","45365.4583333333","33 MB","34788465.3391","0.08 Mbit/s","9664.3485","28 MB","29554337.2832","0.07 Mbit/s","8210.2907","4.99 MB","5234128.0558","0.01 Mbit/s","1454.0577","0 %","0.0000","100 %","0000009999"
"3/14/2024 6:00:00 PM - 7:00:00 PM","45365.5000000000","1,227 MB","1286236216.1854","2.86 Mbit/s","357318.6069","1,209 MB","1267625030.5659","2.82 Mbit/s","352148.3879","18 MB","18611185.6195","0.04 Mbit/s","5170.2190","0 %","0.0000","100 %","0000009999"
"3/14/2024 7:00:00 PM - 8:00:00 PM","45365.5416666667","748 MB","783886678.2547","1.74 Mbit/s","217763.8416","677 MB","710076072.8603","1.58 Mbit/s","197259.2439","70 MB","73810605.3943","0.16 Mbit/s","20504.5977","0 %","0.0000","100 %","0000009999"
"3/14/2024 8:00:00 PM - 9:00:00 PM","45365.5833333333","458 MB","479995666.8353","1.07 Mbit/s","133343.6120","407 MB","426371123.5557","0.95 Mbit/s","118446.6228","51 MB","53624543.2797","0.12 Mbit/s","14896.9893","0 %","0.0000","100 %","0000009999"
"3/14/2024 9:00:00 PM - 10:00:00 PM","45365.6250000000","562 MB","589549633.4114","1.31 Mbit/s","163775.6153","492 MB","515503881.9306","1.15 Mbit/s","143205.8654","71 MB","74045751.4808","0.16 Mbit/s","20569.7499","0 %","0.0000","100 %","0000009999"
"3/14/2024 10:00:00 PM - 11:00:00 PM","45365.6666666667","382 MB","400901510.0054","0.89 Mbit/s","111370.5021","353 MB","370550472.3987","0.82 Mbit/s","102938.9791","29 MB","30351037.6067","0.07 Mbit/s","8431.5230","0 %","0.0000","100 %","0000009999"
"3/14/2024 11:00:00 PM - 12:00:00 AM","45365.7083333333","596 MB","624795792.1010","1.39 Mbit/s","173568.8508","573 MB","601277321.5987","1.34 Mbit/s","167035.3978","22 MB","23518470.5023","0.05 Mbit/s","6533.4529","0 %","0.0000","100 %","0000009999"
"3/15/2024 12:00:00 AM - 1:00:00 AM","45365.7500000000","449 MB","470926597.2189","1.05 Mbit/s","130823.4822","429 MB","449957672.6098","1 Mbit/s","124998.3117","20 MB","20968924.6091","0.05 Mbit/s","5825.1705","0 %","0.0000","100 %","0000009999"
"3/15/2024 1:00:00 AM - 2:00:00 AM","45365.7916666667","266 MB","279152042.9904","0.62 Mbit/s","77547.4040","257 MB","269064564.8333","0.60 Mbit/s","74745.1399","9.62 MB","10087478.1570","0.02 Mbit/s","2802.2641","0 %","0.0000","100 %","0000009999"
"3/15/2024 2:00:00 AM - 3:00:00 AM","45365.8333333333","45 MB","47088699.5300","0.10 Mbit/s","13081.1754","40 MB","42114422.4085","0.09 Mbit/s","11699.3281","4.74 MB","4974277.1215","0.01 Mbit/s","1381.8473","0 %","0.0000","100 %","0000009999"
"3/15/2024 3:00:00 AM - 4:00:00 AM","45365.8750000000","13 MB","13606163.7567","0.03 Mbit/s","3779.8364","9.80 MB","10273719.6554","0.02 Mbit/s","2854.0726","3.18 MB","3332444.1012","","925.7638","0 %","0.0000","100 %","0000009999"
"3/15/2024 4:00:00 AM - 5:00:00 AM","45365.9166666667","24 MB","24851284.7657","0.06 Mbit/s","6903.6716","20 MB","21231767.4144","0.05 Mbit/s","5898.1719","3.45 MB","3619517.3513","","1005.4997","0 %","0.0000","100 %","0000009999"
"3/15/2024 5:00:00 AM - 6:00:00 AM","45365.9583333333","20 MB","20924345.7214","0.05 Mbit/s","5812.8027","16 MB","16439019.3294","0.04 Mbit/s","4566.7748","4.28 MB","4485326.3920","","1246.0278","0 %","0.0000","100 %","0000009999"
"3/15/2024 6:00:00 AM - 7:00:00 AM","45366.0000000000","14 MB","14192790.7568","0.03 Mbit/s","3942.7814","9.49 MB","9955798.9523","0.02 Mbit/s","2765.7379","4.04 MB","4236991.8044","","1177.0435","0 %","0.0000","100 %","0000009999"
